,anglePer,blockN,colorPer,correct,highDim,highDimCoh,irrDim,irrDimCoh,lineCoh,lineDir,angleOption,lowDim,lowDimCoh,response,rxtime,subj,isHighCorrect,isLowCorrect,lineOption,Unnamed: 19,rt,stim,subj_idx,cond,cond2
41,0.7,1,0.3,1,1,2,3,2,0.3,1,1,2,2,3,1.0663,1,1,1,1,,1.0663,12,0,222,22
42,0.7,1,0.58,1,1,2,2,1,0.7,2,1,3,2,3,0.96625,1,1,1,2,,0.96625,13,0,212,22
43,0.42,1,0.42,1,1,2,3,1,0.3,1,2,2,1,3,1.7994,1,1,1,1,,1.7994,12,0,211,21
44,0.3,1,0.7,0,1,1,3,2,0.4,1,2,2,2,1,1.2664,1,0,1,1,,1.2664,12,0,122,12
45,0.7,1,0.3,0,1,1,3,2,0.4,1,1,2,2,2,1.6997,1,1,0,1,,1.6997,12,0,122,12
46,0.58,1,0.58,0,1,1,3,1,0.4,1,1,2,1,1,1.9663,1,0,1,1,,1.9663,12,0,111,11
47,0.42,1,0.42,0,1,1,3,1,0.4,1,2,2,1,0,2.4827,1,0,0,1,,2.4827,12,0,111,11
48,0.3,1,0.42,1,1,2,2,1,0.7,2,2,3,2,3,1.8664,1,1,1,2,,1.8664,13,0,212,22
49,0.7,1,0.58,1,1,2,2,1,0.7,2,1,3,2,3,1.2996,1,1,1,2,,1.2996,13,0,212,22
50,0.7,1,0.42,0,1,1,3,2,0.4,1,1,2,1,1,1.4829,1,0,1,1,,1.4829,12,0,121,11
51,0.3,1,0.58,1,1,2,3,2,0.3,1,2,2,1,3,2.366,1,1,1,1,,2.366,12,0,221,21
52,0.7,1,0.7,0,1,1,3,2,0.4,1,1,2,2,1,1.8495,1,0,1,1,,1.8495,12,0,122,12
53,0.58,1,0.42,1,1,2,2,1,0.7,2,1,3,1,3,5.5152,1,1,1,2,,5.5152,13,0,211,21
54,0.58,1,0.7,0,1,1,2,2,0.6,2,1,3,1,1,1.183,1,0,1,2,,1.183,13,0,121,11
55,0.42,1,0.3,0,1,2,2,2,0.7,2,2,3,1,2,1.1498,1,1,0,2,,1.1498,13,0,221,21
56,0.7,1,0.58,1,1,1,2,1,0.6,2,1,3,2,3,1.4331,1,1,1,2,,1.4331,13,0,112,12
57,0.7,1,0.42,1,1,2,3,2,0.3,1,1,2,1,3,1.4829,1,1,1,1,,1.4829,12,0,221,21
58,0.42,1,0.42,1,1,1,2,1,0.6,2,2,3,1,3,2.3492,1,1,1,2,,2.3492,13,0,111,11
59,0.58,1,0.7,1,1,2,2,2,0.7,2,1,3,1,3,2.766,1,1,1,2,,2.766,13,0,221,21
60,0.42,1,0.7,1,1,2,3,1,0.3,1,2,2,2,3,0.81642,1,1,1,1,,0.81642,12,0,212,22
61,0.58,1,0.42,1,1,1,3,1,0.4,1,1,2,1,3,3.3657,1,1,1,1,,3.3657,12,0,111,11
62,0.58,1,0.42,0,1,2,3,1,0.3,1,1,2,1,1,1.8,1,0,1,1,,1.8,12,0,211,21
63,0.3,1,0.3,0,1,1,3,2,0.4,1,2,2,2,1,2.2992,1,0,1,1,,2.2992,12,0,122,12
64,0.58,1,0.3,1,1,1,2,2,0.6,2,1,3,1,3,2.7324,1,1,1,2,,2.7324,13,0,121,11
65,0.7,1,0.58,1,1,2,3,2,0.3,1,1,2,1,3,0.9832200000000001,1,1,1,1,,0.9832200000000001,12,0,221,21
66,0.42,1,0.7,0,1,1,3,1,0.4,1,2,2,2,0,1.9496,1,0,0,1,,1.9496,12,0,112,12
67,0.7,1,0.42,0,1,1,2,1,0.6,2,1,3,2,0,1.483,1,0,0,2,,1.483,13,0,112,12
68,0.58,1,0.58,1,1,1,2,1,0.6,2,1,3,1,3,1.3998,1,1,1,2,,1.3998,13,0,111,11
69,0.42,1,0.42,0,1,1,2,1,0.6,2,2,3,1,2,2.2493,1,1,0,2,,2.2493,13,0,111,11
70,0.42,1,0.3,1,1,1,3,1,0.4,1,2,2,2,3,1.0331,1,1,1,1,,1.0331,12,0,112,12
